GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JavaMPD,org.bff.javampd.album,MPDAlbum,51,275,8,42,0,21,12,40,6,21
JavaMPD,org.bff.javampd.album,AlbumProcessor,0,104,0,2,0,16,0,6,0,5
JavaMPD,org.bff.javampd.album,MPDAlbumDatabase,0,176,0,0,0,30,0,11,0,11
JavaMPD,org.bff.javampd.album,MPDAlbumConverter,4,138,1,13,1,48,1,11,0,3
JavaMPD,org.bff.javampd.album,MPDAlbum.MPDAlbumBuilder,17,74,1,7,0,1,2,10,1,7
JavaMPD,org.bff.javampd.file,MPDFileDatabase,0,164,3,23,0,43,3,18,0,8
JavaMPD,org.bff.javampd.file,MPDFile.MPDFileBuilder,18,18,0,0,0,1,3,3,3,3
JavaMPD,org.bff.javampd.file,MPDFile,2,157,1,25,0,6,1,25,0,13
JavaMPD,org.bff.javampd.admin,AdminProperties,0,33,0,0,0,7,0,7,0,7
JavaMPD,org.bff.javampd.admin,MPDChangeEvent,0,10,0,0,0,4,0,2,0,2
JavaMPD,org.bff.javampd.admin,AdminProperties.Command,0,56,0,0,0,11,0,3,0,3
JavaMPD,org.bff.javampd.admin,MPDChangeEvent.Event,0,15,0,0,0,3,0,1,0,1
JavaMPD,org.bff.javampd.admin,MPDAdmin,4,326,6,22,0,80,5,27,0,18
JavaMPD,org.bff.javampd.statistics,MPDStatistics.MPDStatisticsBuilder,16,56,0,0,0,1,1,9,1,9
JavaMPD,org.bff.javampd.statistics,Statistic,0,102,0,2,0,17,0,5,0,4
JavaMPD,org.bff.javampd.statistics,MPDStatistics,46,207,1,19,0,9,9,21,8,12
JavaMPD,org.bff.javampd.statistics,MPDStatsConverter,0,113,1,9,0,19,1,9,0,5
JavaMPD,org.bff.javampd.statistics,MPDServerStatistics,0,26,0,0,0,8,0,3,0,3
JavaMPD,org.bff.javampd.server,MPDServer,6,96,0,0,2,31,2,19,2,19
JavaMPD,org.bff.javampd.server,ServerProperties.Command,0,84,0,0,0,15,0,3,0,3
JavaMPD,org.bff.javampd.server,ResponseProperties,0,18,0,0,0,4,0,4,0,4
JavaMPD,org.bff.javampd.server,ErrorEvent,0,14,0,0,0,6,0,3,0,3
JavaMPD,org.bff.javampd.server,MPDProperties,0,56,0,0,0,22,0,6,0,6
JavaMPD,org.bff.javampd.server,MPD.MPDBuilder,10,35,0,0,0,1,1,6,1,6
JavaMPD,org.bff.javampd.server,MPDServerStatus.TimeType,0,28,0,0,0,7,0,3,0,3
JavaMPD,org.bff.javampd.server,MPD,3,193,0,6,0,42,1,14,1,11
JavaMPD,org.bff.javampd.server,ResponseProperties.Command,0,35,0,0,0,8,0,3,0,3
JavaMPD,org.bff.javampd.server,MPDServerStatus,1,391,1,37,0,77,1,48,0,30
JavaMPD,org.bff.javampd.server,MPDConnectionException,0,16,0,0,0,8,0,4,0,4
JavaMPD,org.bff.javampd.server,MPDSecurityException,0,9,0,0,0,4,0,2,0,2
JavaMPD,org.bff.javampd.server,MPDSocket,2,609,4,42,0,158,4,42,0,23
JavaMPD,org.bff.javampd.server,ConnectionChangeEvent,0,10,0,0,0,4,0,2,0,2
JavaMPD,org.bff.javampd.server,ServerProperties,0,44,0,0,0,11,0,11,0,11
JavaMPD,org.bff.javampd.server,Status,0,226,0,4,0,37,0,6,0,4
JavaMPD,org.bff.javampd.player,BitrateChangeEvent,0,16,0,0,0,6,0,3,0,3
JavaMPD,org.bff.javampd.player,PlayerProperties.Command,0,133,0,0,0,22,0,3,0,3
JavaMPD,org.bff.javampd.player,Player.Status,0,35,0,0,0,8,0,3,0,3
JavaMPD,org.bff.javampd.player,PlayerBasicChangeEvent.Status,0,27,0,0,0,5,0,1,0,1
JavaMPD,org.bff.javampd.player,VolumeChangeDelegate,0,42,0,2,0,12,0,5,0,4
JavaMPD,org.bff.javampd.player,MPDPlayer,0,566,3,33,0,146,3,60,0,45
JavaMPD,org.bff.javampd.player,PlayerChangeEvent,0,10,0,0,0,4,0,2,0,2
JavaMPD,org.bff.javampd.player,PlayerChangeEvent.Event,0,63,0,0,0,11,0,1,0,1
JavaMPD,org.bff.javampd.player,VolumeChangeEvent,0,10,0,0,0,4,0,2,0,2
JavaMPD,org.bff.javampd.player,PlayerBasicChangeEvent,0,10,0,0,0,4,0,2,0,2
JavaMPD,org.bff.javampd.player,PlayerProperties,0,88,0,0,0,18,0,18,0,18
JavaMPD,org.bff.javampd.player,TrackPositionChangeEvent,0,10,0,0,0,4,0,2,0,2
JavaMPD,org.bff.javampd,MPDSystemClock,0,7,0,0,0,3,0,3,0,3
JavaMPD,org.bff.javampd,MPDException,0,46,0,0,0,19,0,7,0,7
JavaMPD,org.bff.javampd,MPDMonitorModule,0,58,0,0,0,11,0,2,0,2
JavaMPD,org.bff.javampd,MPDModule,0,94,0,0,0,17,0,2,0,2
JavaMPD,org.bff.javampd,MPDDatabaseModule,0,58,0,0,0,11,0,2,0,2
JavaMPD,org.bff.javampd.audioinfo,MPDAudioInfo.MPDAudioInfoBuilder,8,28,0,0,0,1,1,5,1,5
JavaMPD,org.bff.javampd.audioinfo,MPDAudioInfo,22,95,1,11,0,5,5,13,4,8
JavaMPD,org.bff.javampd.artist,MPDArtistDatabase,0,135,1,3,0,30,1,12,0,11
JavaMPD,org.bff.javampd.artist,MPDArtist,6,68,1,13,0,2,2,11,1,5
JavaMPD,org.bff.javampd.genre,MPDGenre,35,39,9,5,1,3,9,4,2,4
JavaMPD,org.bff.javampd.genre,MPDGenreDatabase,0,94,1,3,0,20,1,7,0,6
JavaMPD,org.bff.javampd.year,MPDDateDatabase,0,29,0,0,0,8,0,3,0,3
JavaMPD,org.bff.javampd.monitor,MonitorProperties.Delay,0,70,0,0,0,13,0,3,0,3
JavaMPD,org.bff.javampd.monitor,PlayerStatus,0,21,0,0,0,4,0,1,0,1
JavaMPD,org.bff.javampd.monitor,MPDTrackMonitor,0,91,0,6,0,29,0,12,0,9
JavaMPD,org.bff.javampd.monitor,MPDBitrateMonitor,0,82,0,6,0,24,0,10,0,7
JavaMPD,org.bff.javampd.monitor,MPDPlayerMonitor,0,177,3,23,0,53,3,22,0,12
JavaMPD,org.bff.javampd.monitor,MPDOutputMonitor,0,148,0,12,0,35,0,13,0,7
JavaMPD,org.bff.javampd.monitor,MPDVolumeMonitor,0,59,0,4,0,19,0,9,0,7
JavaMPD,org.bff.javampd.monitor,MonitorProperties,0,51,0,0,0,9,0,9,0,9
JavaMPD,org.bff.javampd.monitor,MPDErrorMonitor,0,72,0,6,0,22,0,10,0,7
JavaMPD,org.bff.javampd.monitor,StandAloneMonitorThread,2,224,2,10,0,70,2,18,0,14
JavaMPD,org.bff.javampd.monitor,ThreadedMonitor,0,51,0,6,0,14,0,7,0,4
JavaMPD,org.bff.javampd.monitor,MPDConnectionMonitor,0,67,0,4,0,21,0,9,0,7
JavaMPD,org.bff.javampd.monitor,MPDStandAloneMonitor,0,225,0,2,0,65,0,25,0,24
JavaMPD,org.bff.javampd.monitor,MPDPlaylistMonitor,0,194,0,21,0,59,0,21,0,9
JavaMPD,org.bff.javampd.monitor,StandAloneMonitor.PlayerResponse,0,35,0,0,0,8,0,3,0,3
JavaMPD,org.bff.javampd.database,MPDMusicDatabase,0,45,0,0,0,16,0,8,0,8
JavaMPD,org.bff.javampd.database,TagLister.ListType,0,49,0,0,0,10,0,3,0,3
JavaMPD,org.bff.javampd.database,TagLister.GroupType,0,49,0,0,0,10,0,3,0,3
JavaMPD,org.bff.javampd.database,MPDTagLister,3,163,2,12,1,36,2,13,0,8
JavaMPD,org.bff.javampd.database,TagLister.ListInfoType,0,42,0,0,0,9,0,3,0,3
JavaMPD,org.bff.javampd.database,DatabaseProperties,0,33,0,0,0,7,0,7,0,7
JavaMPD,org.bff.javampd.database,DatabaseProperties.Command,0,56,0,0,0,11,0,3,0,3
JavaMPD,org.bff.javampd.command,MPDCommand,2,129,1,23,0,11,1,18,0,7
JavaMPD,org.bff.javampd.command,MPDCommandExecutor,0,211,2,14,0,51,2,20,0,14
JavaMPD,org.bff.javampd.playlist,MPDPlaylist,2,857,7,53,0,190,7,74,0,51
JavaMPD,org.bff.javampd.playlist,MPDSavedPlaylist,12,117,1,21,0,5,3,19,2,9
JavaMPD,org.bff.javampd.playlist,PlaylistBasicChangeEvent.Event,0,33,0,0,0,6,0,1,0,1
JavaMPD,org.bff.javampd.playlist,MPDPlaylistSong.MPDPlaylistSongBuilder,8,21,0,0,0,1,1,3,1,3
JavaMPD,org.bff.javampd.playlist,MPDPlaylistSong.MPDPlaylistSongBuilderImpl,0,7,0,0,0,1,0,2,0,2
JavaMPD,org.bff.javampd.playlist,PlaylistBasicChangeEvent,0,10,0,0,0,4,0,2,0,2
JavaMPD,org.bff.javampd.playlist,PlaylistProperties.Command,0,126,0,0,0,21,0,3,0,3
JavaMPD,org.bff.javampd.playlist,PlaylistProperties,0,83,0,0,0,17,0,17,0,17
JavaMPD,org.bff.javampd.playlist,MPDPlaylistSongConverter,5,125,1,1,1,22,1,4,0,4
JavaMPD,org.bff.javampd.playlist,MPDPlaylistSong,66,45,11,5,1,4,9,9,3,7
JavaMPD,org.bff.javampd.playlist,MPDPlaylistDatabase,14,142,0,0,2,39,1,9,1,9
JavaMPD,org.bff.javampd.playlist,PlaylistChangeEvent,0,23,0,0,0,9,0,4,0,4
JavaMPD,org.bff.javampd.playlist,PlaylistChangeEvent.Event,0,93,0,0,0,16,0,1,0,1
JavaMPD,org.bff.javampd.playlist,MPDSavedPlaylist.MPDSavedPlaylistBuilder,11,16,0,0,0,1,2,3,2,3
JavaMPD,org.bff.javampd.song,MPDSongSearcher,0,195,0,4,0,28,0,18,0,16
JavaMPD,org.bff.javampd.song,SearchProperties.Command,0,35,0,0,0,8,0,3,0,3
JavaMPD,org.bff.javampd.song,MPDTagConverter,0,221,2,30,0,52,2,23,0,9
JavaMPD,org.bff.javampd.song,MPDSong.MPDSongBuilder,28,81,0,0,0,1,1,14,1,14
JavaMPD,org.bff.javampd.song,SongProcessor,0,187,0,2,0,26,0,7,0,6
JavaMPD,org.bff.javampd.song,MPDSongConverter,5,122,1,1,1,25,1,7,0,7
JavaMPD,org.bff.javampd.song,MPDSong.MPDSongBuilderImpl,0,7,0,0,0,1,0,2,0,2
JavaMPD,org.bff.javampd.song,SongSearcher.ScopeType,0,112,0,0,0,19,0,3,0,3
JavaMPD,org.bff.javampd.song,SearchCriteria,8,105,1,21,0,3,2,16,1,6
JavaMPD,org.bff.javampd.song,SearchProperties,5,13,0,0,1,3,1,3,1,3
JavaMPD,org.bff.javampd.song,MPDSong,6,599,3,109,0,26,3,73,0,20
JavaMPD,org.bff.javampd.song,MPDSongDatabase,268,56,23,3,51,12,33,8,21,7
JavaMPD,org.bff.javampd.output,OutputChangeEvent.OUTPUT_EVENT,0,21,0,0,0,4,0,1,0,1
JavaMPD,org.bff.javampd.output,MPDOutput.MPDOutputBuilder,18,18,0,0,0,1,3,3,3,3
JavaMPD,org.bff.javampd.output,MPDOutput,14,128,1,19,0,6,3,20,2,11
JavaMPD,org.bff.javampd.output,OutputChangeEvent,0,10,0,0,0,4,0,2,0,2
JavaMPD,org.bff.javampd.art,MPDArtworkFinder,0,211,0,2,0,46,0,15,0,14
JavaMPD,org.bff.javampd.art,MPDArtwork,19,135,1,23,0,5,4,20,3,9
JavaMPD,org.bff.javampd.art,MPDArtwork.MPDArtworkBuilder,14,23,0,0,0,1,2,4,2,4
JavaMPD,org.bff.javampd.processor,TitleTagProcessor,2,4,0,0,1,2,1,1,1,1
JavaMPD,org.bff.javampd.processor,DiscTagProcessor,2,4,0,0,1,2,1,1,1,1
JavaMPD,org.bff.javampd.processor,IdTagProcessor,2,8,0,0,1,3,1,2,1,2
JavaMPD,org.bff.javampd.processor,ResponseProcessor.TagType,0,87,0,0,0,15,0,1,0,1
JavaMPD,org.bff.javampd.processor,ArtistTagProcessor,0,6,0,0,0,3,0,2,0,2
JavaMPD,org.bff.javampd.processor,AlbumTagProcessor,0,6,0,0,0,3,0,2,0,2
JavaMPD,org.bff.javampd.processor,CommentTagProcessor,2,4,0,0,1,2,1,1,1,1
JavaMPD,org.bff.javampd.processor,TimeTagProcessor,2,4,0,0,1,2,1,1,1,1
JavaMPD,org.bff.javampd.processor,GenreTagProcessor,0,6,0,0,0,3,0,2,0,2
JavaMPD,org.bff.javampd.processor,TagResponseProcessor,0,27,0,2,0,8,0,5,0,4
JavaMPD,org.bff.javampd.processor,FileTagProcessor,2,4,0,0,1,2,1,1,1,1
JavaMPD,org.bff.javampd.processor,AlbumArtistTagProcessor,0,6,0,0,0,3,0,2,0,2
JavaMPD,org.bff.javampd.processor,PositionTagProcessor,2,4,0,0,1,2,1,1,1,1
JavaMPD,org.bff.javampd.processor,TrackTagProcessor,2,4,0,0,1,2,1,1,1,1
JavaMPD,org.bff.javampd.processor,DateTagProcessor,0,6,0,0,0,3,0,2,0,2
JavaMPD,org.bff.javampd.processor,NameTagProcessor,2,4,0,0,1,2,1,1,1,1
